,Gender,Age,Education Background,Location where you live?,SingleOrMarried,How many people do you live with excluding yourself?,"If married, how many kids do you have?",Do you have any kids below 5 years old?,Are you currently employed?,How many hours on average do you work at your job?,On a scale of 1-10 how demanding is your job?,On a scale 1 to 10 how social are you?,How many times do you go out for social activities during the week?,What do you wish to ultimately accomplish when starting an online course? Check all that apply.,How many online MOOC classes have you registered for so far?,AVG Class registered,Out of the MOOC classes that you have registered for how many of them have you completed?,Avg Class Completed,Completion Percent, Out of the MOOC classes that you have registered for how many of them have you dropped?,Avg Class Dropped,Drop Percent,What pushed you to complete the courses? Check all that apply.,How much of the online content do you watch or read for the courses that you completed?,How much of the online content do you watch or read for the courses that you dropped?,Select a reason below as to why an online course was not completed/dropped? Check all that apply.,How many exercises\assessments did you complete for the courses that you completed?,How many exercises\assessments did you complete for the courses that you dropped?,"For the completed courses, how many times did you visit the online forum to socialize with students in a given week?",Avg Online forum Visit for Completed Class,"For the dropped courses, how many times did you visit the online forum to socialize with students in a given week?",Avg Online forum visit for dropped classes,Do you value student interaction as an important learning component for MOOC courses?,Do you think MOOC classes provide an opportunity to learn from other students?,"If yes to above question, do you value that opportunity?","Have you stayed in touch with any students that you met in forum discussions after the class is over?If yes, whats the average number of students? ","Have you stayed in touch with any students that you worked together in a class (project team mates) after the class is over? If yes, whats the average number of students?",Do you value MOOC classes to be up to date with developments in the related course field?,"Do you value a MOOC instructor's ability to provide timely and helpful feedback on assignments, exams or projects?",Student courses completion is dependent upon instructor/TA ability to help individual learn the course material?,Student courses completion is dependent upon the instructor/TA's contribution to the discussion forums?,Student courses completion is dependent upon how interesting and simulating the course assignments are?,Do you feel that group work can contribute significantly to completing or dropping MOOC courses?,Please provide any feedback to help us better this survey.
59,Female,25 to 34,PHD,Country,Married,<=5,1,Yes,No,<40,3,5,1,New Job,6-10,8,6-10,8,100,1-5,3,37.5,"The structure of the learning modules were well prepared and organized, I knew what was expected of me at all times",Around Half,25,"Time, Rejection (unsolved assignment problems)",100,25,1-5,2.5,1-5,2.5,Yes,No,,0-5,0-5,Yes,Yes,Agree,Strongly agree,Agree,Agree,The survey force me to answer exactly how many hours I have to work if I am not working 
60,Female,25 to 34,PHD,Urban/City,Married,2,0,No,No,>45 but <=50,7,7,1,New Job,6-10,8,6-10,8,100,6-10,8,100,I knew what was expected of me at all times,Around Half,25,Rejection (unsolved assignment problems),25,75,,,1-5,2.5,No,No,Yes,10-20,5-10,Yes,Yes,Agree,Neutral,Neutral,Neutral,No
61,Male,35 to 44,PHD,Suburban,Married,2,1,No,Yes,>40 but <=45,7,7,2,New Job,1-5,3,1-5,3,100,1-5,3,100,"The structure of the learning modules were well prepared and organized, Projects/assignments were clearly defined, I knew what was expected of me at all times",Most,25,"Time, Rejection (unsolved assignment problems)",100,50,1-5,2.5,1-5,2.5,No,No,,0-5,0-5,Yes,Yes,Agree,Agree,Agree,Agree,Great questions!
62,Male,25 to 34,Undergraduate,Urban/City,Married,1,0,No,Yes,>40 but <=45,4,3,2,Gain a degree,0,0,0,0,,0,0,,,,,,,,,,,,,,,0-5,0-5,,,Disagree,Strongly disagree,Agree,Strongly Agree,"I have not taken a true MOOC course, only OMSCS courses, so I answered N/A to most of the questions, even though I think my experience in OMSCS provides a pretty good perspective.  I think maybe you could word the questions so that even if the person hasn't taken a MOOC, they could still answer, and if the questions that absolutely require MOOC participation, move them to the end and make them not required."
63,Male,18 to 24,Undergraduate,Suburban,Single,<=5,0,No,Yes,<40,6,8,2,"New Job, Knowledge",1-5,3,1-5,3,100,0,0,0,"The structure of the learning modules were well prepared and organized, Projects/assignments were clearly defined",All,100,,100,100,1-5,2.5,,,Yes,Yes,Yes,0-5,0-5,Yes,Yes,Strongly agree,Strongly agree,Strongly Agree,Agree,Great improvements in this survey
64,Male,35 to 44,Undergraduate,Urban/City,Married,<=5,2,Yes,Yes,>45 but <=50,8,7,2,"New Job, Gain a degree, Knowledge",1-5,3,0,0,0,1-5,3,100,,Some,25,Time,25,25,0,0,0,0,Yes,Yes,Yes,0-5,0-5,Yes,Yes,Agree,Agree,Strongly Agree,Agree,I am considering my answers based on courses outside the OMSCS. I have not taken a lot but couple of them i registered but could not finish due to time and family constraints.
65,Male,45 to 54,Graduate,Urban/City,Married,<=5,2,No,Yes,>45 but <=50,8,6,1,"Gain a degree, Knowledge",20+,20,1-5,3,15,6-10,8,40,"The structure of the learning modules were well prepared and organized, Projects/assignments were clearly defined, I knew what was expected of me at all times",All,25,I enroll to get some concept from a course. ,100,None,0,0,0,0,No,Yes,,0-5,0-5,Yes,Yes,Neutral,Neutral,Neutral,Neutral,Non
66,Male,25 to 34,Undergraduate,Urban/City,Single,1,0,No,Yes,>45 but <=50,6,7,<=5,"Gain a degree, Knowledge",6-10,8,6-10,8,100,1-5,3,37.5,"The structure of the learning modules were well prepared and organized, Projects/assignments were clearly defined, I knew what was expected of me at all times, I enjoy taking online courses",All,50,Lack of interest. Exploratory topics.,100,50,1-5,2.5,1-5,2.5,Yes,Yes,Yes,0-5,0-5,Yes,Yes,Disagree,Neutral,Agree,Strongly Agree,Options for question 21 are lacking. Maybe add some to catch categories that show up in the Other option from your initial survey.
67,Male,25 to 34,Undergraduate,Suburban,Single,2,0,No,Yes,40,9,2,1,Knowledge,1-5,3,1-5,3,100,0,0,0,,Around Half,,,100,,10+,10,,,Yes,Yes,Yes,0-5,0-5,Yes,Yes,Strongly agree,Strongly agree,Agree,Neutral,Explain why would probably be more useful than the yes/no like questions
68,Female,25 to 34,Undergraduate,Suburban,Married,1,0,No,Yes,>40 but <=45,8,7,1,"Gain a degree, Knowledge",20+,20,11-15,13,65,11-15,13,65,"The structure of the learning modules were well prepared and organized, Projects/assignments were clearly defined, I knew what was expected of me at all times, I enjoy taking online courses",Most,75,"Time, Rejection (unsolved assignment problems)",100,50,1-5,2.5,1-5,2.5,No,Yes,Yes,0-5,0-5,Yes,No,Neutral,Neutral,Strongly Agree,Neutral,Nothing in particular this time.
69,Male,25 to 34,Undergraduate,Suburban,Married,<=5,0,No,Yes,40,6,7,2,"Gain a degree, Knowledge",6-10,8,6-10,8,100,1-5,3,37.5,"The structure of the learning modules were well prepared and organized, Projects/assignments were clearly defined, I knew what was expected of me at all times, I enjoy taking online courses",All,25,Time,100,25,1-5,2.5,1-5,2.5,Yes,Yes,Yes,0-5,0-5,Yes,Yes,Agree,Neutral,Agree,Agree,"On some of the questions, you needed a 0 option, but it was not given."
70,Male,45 to 54,Undergraduate,Urban/City,Married,<=5,2,No,Yes,>45 but <=50,6,3,0,Knowledge,20+,20,20+,20,100,1-5,3,15,"The structure of the learning modules were well prepared and organized, Projects/assignments were clearly defined, I knew what was expected of me at all times, I enjoy taking online courses",All,100,Time,100,100,10+,10,10+,10,Yes,Yes,Yes,0-5,0-5,Yes,Yes,Strongly agree,Strongly agree,Agree,Neutral,One reason perhaps to add for dropping course is difficulty
71,Male,25 to 34,Graduate,Urban/City,Single,1,,No,Yes,40,7,6,1,Knowledge,6-10,8,1-5,3,37.5,1-5,3,37.5,"The structure of the learning modules were well prepared and organized, Projects/assignments were clearly defined, I knew what was expected of me at all times, I enjoy taking online courses, Excess free-time due to part-time status in the past",Most,75,"Time, Lack of interest",100,25,0,0,0,0,No,Yes,Yes,0-5,0-5,Yes,Yes,Neutral,Disagree,Agree,Agree,No feedback.
72,Female,25 to 34,Graduate,Urban/City,Married,2,1,Yes,Yes,40,5,4,1,Knowledge,1-5,3,1-5,3,100,0,0,0,"The structure of the learning modules were well prepared and organized, I knew what was expected of me at all times",Some,None,Rejection (unsolved assignment problems),100,25,1-5,2.5,0,0,Yes,Yes,Yes,0-5,0-5,Yes,Yes,Neutral,Neutral,Strongly Agree,Neutral,
73,Male,25 to 34,Graduate,Urban/City,Married,1,0,No,Yes,>40 but <=45,8,2,1,"New Job, Gain a degree, Knowledge",1-5,3,1-5,3,100,0,0,0,"The structure of the learning modules were well prepared and organized, Projects/assignments were clearly defined, I enjoy taking online courses",Most,,,100,,5-10,7.5,1-5,2.5,No,Yes,No,5-10,0-5,Yes,No,Agree,Strongly agree,Strongly Agree,Strongly Agree,None
74,Male,25 to 34,Undergraduate,Urban/City,Single,1,,No,Yes,>40 but <=45,9,3,0,Knowledge,6-10,8,6-10,8,100,1-5,3,37.5,Getting the degree,Most,None,Time,100,25,1-5,2.5,1-5,2.5,Yes,Yes,Yes,0-5,0-5,Yes,Yes,Agree,Agree,Strongly Agree,Neutral,Nothing needs to be changed
75,Male,25 to 34,Undergraduate,Urban/City,Married,1,0,No,Yes,>40 but <=45,8,9,5+,"New Job, Gain a degree, Knowledge",1-5,3,1-5,3,100,1-5,3,100,"The structure of the learning modules were well prepared and organized, Projects/assignments were clearly defined",Around Half,50,Time,100,25,5-10,7.5,1-5,2.5,Yes,Yes,Yes,0-5,0-5,Yes,Yes,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,
76,Male,35 to 44,Undergraduate,Urban/City,Married,1,0,No,Yes,55+,8,5,1,Knowledge,16-20,18,11-15,13,72.22222222,1-5,3,16.66666667,I enjoy taking online courses,Most,75,Time,75,25,0,0,0,0,No,No,,0-5,0-5,Yes,Yes,Agree,Agree,Agree,Agree,Interesting survey. I have done it before also so I dont have much feedback to provide.
77,Male,25 to 34,Undergraduate,Suburban,Married,1,0,No,Yes,40,9,1,1,"Gain a degree, Knowledge",1-5,3,1-5,3,100,0,0,0,I enjoy taking online courses,All,,,100,,1-5,2.5,,,Yes,Probably not as well or as easily as in person classes,,0-5,5-10,Yes,Yes,Agree,Agree,Strongly Agree,Agree,"The question about staying in touch with team/group memebers after a course is over. Is that in reference to a MOOC course or an in person course? I still stay in touch with group members from my undergrad in person courses, but do not have much contact with MOOC classmates."
78,Male,25 to 34,Undergraduate,Suburban,Single,0,0,No,No,<40,1,1,0,Gain a degree,0,0,0,0,,0,0,,,,,,,,,,,,,,,0-5,0-5,,,,,,,n/a
79,Female,25 to 34,PHD,Urban/City,Married,2,1,No,No,<40,6,3,2,New Job,6-10,8,6-10,8,100,0,0,0,Projects/assignments were clearly defined,Most,,,100,,5-10,7.5,10+,10,Yes,Yes,Yes,0-5,0-5,Yes,Yes,Agree,Agree,Neutral,Neutral,The questionnaire looks good to me
80,Male,18 to 24,Undergraduate,Urban/City,Single,2,,No,Yes,40,7,7,1,Knowledge,1-5,3,11-15,13,433.3333333,6-10,8,266.6666667,I enjoy taking online courses,None,,,100,75,5-10,7.5,1-5,2.5,,No,,10-20,5-10,,,,,,,s
81,Male,25 to 34,Undergraduate,Urban/City,Single,0,,No,Yes,>45 but <=50,9,6,2,Knowledge,6-10,8,6-10,8,100,1-5,3,37.5,"I knew what was expected of me at all times, I enjoy taking online courses",Most,75,Time,100,100,1-5,2.5,1-5,2.5,No,Yes,No,0-5,0-5,Yes,Yes,Disagree,Neutral,Agree,Agree,You could drill into answers by having branching logic depending on previous answers.
82,Male,25 to 34,Undergraduate,Urban/City,Single,1,,No,Yes,>45 but <=50,8,3,1,"Gain a degree, Knowledge",6-10,8,1-5,3,37.5,1-5,3,37.5,"The structure of the learning modules were well prepared and organized, I enjoy taking online courses, The content was amazing",Around Half,25,"Time, boring material",100,25,0,0,0,0,No,No,,No,0-5,Yes,Yes,Agree,Neutral,Strongly Agree,Neutral,"Questions 33-35 seem to ask general feelings rather than my personal experience. Not sure if that's a problem or not, just would have probably given a different answer if it was specific to my personal experience."
83,Prefer not to say,25 to 34,Graduate,Urban/City,Married,1,0,No,Yes,>40 but <=45,6,4,<=5,"Gain a degree, Knowledge",6-10,8,6-10,8,100,0,0,0,"I knew what was expected of me at all times, I enjoy taking online courses",Around Half,,,75,,5-10,7.5,,,Yes,Yes,Yes,0-5,0-5,Yes,Yes,Disagree,Neutral,Agree,Agree,
84,Male,35 to 44,Graduate,Suburban,Single,1,,No,Yes,55+,10,4,0,"New Job, Gain a degree, Knowledge",1-5,3,1-5,3,100,1-5,3,100,The structure of the learning modules were well prepared and organized,All,100,,50,50,5-10,7.5,5-10,7.5,Yes,,,0-5,0-5,No,Yes,Agree,Agree,Agree,Agree,.
85,Male,35 to 44,Graduate,Urban/City,Single,1,,No,Yes,55+,10,3,0,"New Job, Gain a degree, Knowledge",1-5,3,1-5,3,100,1-5,3,100,Projects/assignments were clearly defined,All,100,,50,50,1-5,2.5,1-5,2.5,Yes,Yes,Yes,0-5,0-5,Yes,Yes,Agree,Agree,Neutral,Neutral,none
86,Male,25 to 34,PHD,Country,Single,0,,No,Yes,>40 but <=45,6,4,1,Knowledge,1-5,3,1-5,3,100,1-5,3,100,,All,75,Time,25,25,1-5,2.5,1-5,2.5,,,,5-10,0-5,,,Neutral,Agree,Strongly Agree,Strongly Agree,
87,Male,25 to 34,Graduate,Urban/City,Married,1,0,No,Yes,>40 but <=45,7,9,2,"New Job, Gain a degree, Knowledge",6-10,8,1-5,3,37.5,1-5,3,37.5,"The structure of the learning modules were well prepared and organized, Projects/assignments were clearly defined, I paid for it",All,None,Time,100,None,1-5,2.5,0,0,No,Yes,No,0-5,0-5,Yes,Yes,Agree,Agree,Agree,Strongly Agree,none
88,Female,25 to 34,Graduate,Suburban,Prefer not to say,1,0,No,Yes,40,5,2,0,"New Job, Gain a degree, Knowledge",0,0,0,0,,0,0,,"The structure of the learning modules were well prepared and organized, Projects/assignments were clearly defined",All,None,,100,,1-5,2.5,,,Yes,,,0-5,0-5,,Yes,Agree,Agree,Agree,,
89,Male,35 to 44,PHD,Urban/City,Married,<=5,2,Yes,Yes,>50 but <=55,10,7,1,Knowledge,6-10,8,6-10,8,100,1-5,3,37.5,"The structure of the learning modules were well prepared and organized, Projects/assignments were clearly defined, I enjoy taking online courses",Most,75,"Time, Rejection (unsolved assignment problems)",100,75,1-5,2.5,1-5,2.5,Yes,Yes,Yes,0-5,0-5,Yes,Yes,Strongly agree,Agree,Strongly Agree,Agree,helpful
90,Male,25 to 34,Graduate,Suburban,Married,1,0,No,Yes,40,8,2,0,"New Job, Gain a degree, Knowledge",6-10,8,6-10,8,100,0,0,0,spent money on it,All,,,100,,1-5,2.5,,,Yes,Yes,Yes,0-5,0-5,Yes,Yes,Agree,Neutral,Neutral,Agree,"for keeping in touch, should probably separate 0 from 1-5, there's a big difference there."
91,Male,45 to 54,Undergraduate,Urban/City,Single,1,,No,Yes,>40 but <=45,9,4,2,New Job,6-10,8,1-5,3,37.5,1-5,3,37.5,"The structure of the learning modules were well prepared and organized, Projects/assignments were clearly defined, I knew what was expected of me at all times",Most,None,"Time, No immediate outcome",100,None,10+,10,0,0,Yes,Yes,No,0-5,0-5,Yes,Yes,Disagree,Agree,Strongly Agree,Neutral,No feedback 
92,Male,25 to 34,Undergraduate,Urban/City,Married,1,0,No,Yes,40,8,7,2,"Gain a degree, Knowledge",1-5,3,0,0,0,1-5,3,100,,All,100,Time,,50,,,1-5,2.5,Yes,No,,0-5,0-5,Yes,Yes,Agree,Agree,Strongly Agree,Neutral,None
93,Female,25 to 34,Graduate,Urban/City,Married,5+,3,Yes,Yes,40,8,6,2,Knowledge,1-5,3,1-5,3,100,0,0,0,"The structure of the learning modules were well prepared and organized, I knew what was expected of me at all times",All,,,100,100,5-10,7.5,,,Yes,Yes,Yes,0-5,0-5,Yes,Yes,Neutral,Neutral,Strongly Agree,Disagree,Good work
94,Male,25 to 34,Undergraduate,Suburban,Single,1,,No,Yes,<40,1,7,2,New Job,6-10,8,6-10,8,100,0,0,0,"The structure of the learning modules were well prepared and organized, Projects/assignments were clearly defined, I knew what was expected of me at all times, I enjoy taking online courses",Most,,,100,,10+,10,,,Yes,Yes,Yes,0-5,1,Yes,Yes,Strongly agree,Agree,Agree,Strongly Agree,Ask what can be done to improve in these areas
95,Male,25 to 34,Undergraduate,Suburban,Single,1,0,No,Yes,40,7,7,2,"Gain a degree, Knowledge",11-15,13,11-15,13,100,0,0,0,"The structure of the learning modules were well prepared and organized, Projects/assignments were clearly defined, I knew what was expected of me at all times, I enjoy taking online courses",Most,,,100,,5-10,7.5,,,Yes,No,,0,0-5,Yes,Yes,Strongly agree,Strongly agree,Agree,Strongly Agree,"Several questions have ""NA"" instead of ""N/A"""
96,Male,25 to 34,Graduate,Urban/City,Married,2,1,Yes,Yes,>40 but <=45,6,3,1,"New Job, Gain a degree, Knowledge",6-10,8,6-10,8,100,1-5,3,37.5,"Projects/assignments were clearly defined, I knew what was expected of me at all times",Most,75,"Time, Rejection (unsolved assignment problems), Loneliness",100,100,1-5,2.5,1-5,2.5,Yes,Yes,Yes,0-5,0-5,Yes,Yes,Neutral,Neutral,Agree,Agree,
97,Male,25 to 34,Undergraduate,Urban/City,Single,1,,No,Yes,40,6,7,1,Gain a degree,6-10,8,6-10,8,100,1-5,3,37.5,I enjoy taking online courses,Most,75,"Time, Rejection (unsolved assignment problems)",50,25,1-5,2.5,1-5,2.5,Yes,Yes,No,5-10,5-10,Yes,Yes,Agree,Agree,Neutral,Neutral,
98,Male,35 to 44,Undergraduate,Urban/City,Single,1,0,No,Yes,40,6,5,1,Gain a degree,6-10,8,11-15,13,162.5,1-5,3,37.5,I knew what was expected of me at all times,Most,50,Time,75,25,10+,10,5-10,7.5,No,,No,5-10,10-20,No,Yes,Neutral,Neutral,Agree,Agree,
99,Female,25 to 34,Undergraduate,Suburban,Married,1,0,No,Yes,>45 but <=50,7,4,1,Knowledge,11-15,13,11-15,13,100,1-5,3,23.07692308,"The structure of the learning modules were well prepared and organized, Projects/assignments were clearly defined, I enjoy taking online courses",Most,75,"Time, lost interest",100,25,5-10,7.5,1-5,2.5,Yes,Yes,Yes,5-10,5-10,Yes,Yes,Agree,Strongly agree,Agree,Strongly Agree,having set deadlines helps too
100,Male,25 to 34,Undergraduate,Suburban,Single,2,,No,Yes,>40 but <=45,9,8,2,"New Job, Gain a degree, Knowledge",6-10,8,1-5,3,37.5,1-5,3,37.5,"Projects/assignments were clearly defined, I knew what was expected of me at all times",All,100,Time,100,50,1-5,2.5,5-10,7.5,Yes,Yes,Yes,0-5,0-5,Yes,Yes,Agree,Neutral,Neutral,Neutral,N\A
101,Male,25 to 34,Graduate,Urban/City,Single,2,2,No,Yes,>40 but <=45,6,6,0,"New Job, Gain a degree",16-20,18,11-15,13,72.22222222,11-15,13,72.22222222,"The structure of the learning modules were well prepared and organized, I knew what was expected of me at all times, I enjoy taking online courses",Around Half,50,"Time, Rejection (unsolved assignment problems), Loneliness",25,None,1-5,2.5,1-5,2.5,No,No,Yes,10-20,10-20,Yes,Yes,Neutral,Neutral,Neutral,Agree,
102,Female,25 to 34,Undergraduate,Suburban,Single,0,,No,Yes,>40 but <=45,6,8,2,"New Job, Gain a degree, Knowledge",6-10,8,6-10,8,100,0,0,0,"The structure of the learning modules were well prepared and organized, Projects/assignments were clearly defined, I knew what was expected of me at all times, I enjoy taking online courses",All,,"Time, Rejection (unsolved assignment problems)",,,5-10,7.5,,,Yes,Yes,Yes,0-5,0-5,Yes,Yes,Agree,Neutral,Strongly Agree,Agree,n/a
103,Female,18 to 24,PHD,Country,Single,1,2,No,Yes,<40,9,9,2,Knowledge,6-10,8,6-10,8,100,11-15,13,162.5,,Around Half,75,Time,25,None,5-10,7.5,,,No,No,Yes,0-5,10-20,No,,Strongly disagree,Agree,Agree,Neutral,gf
